onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
5.0	3.0	n/a	n/a	n/a	[]	[]
13.1	3.0000000000000018	n/a	n/a	n/a	[]	[]
21.1	3.0	n/a	n/a	n/a	[]	[]
29.1	3.0	n/a	n/a	n/a	[]	[]
37.1	3.0	n/a	n/a	n/a	[]	[]
45.1	3.0	n/a	n/a	n/a	[]	[]
53.2	3.0	n/a	n/a	n/a	[]	[]
61.2	3.0	n/a	n/a	n/a	[]	[]
69.2	3.0	n/a	n/a	n/a	[]	[]
77.2	3.0	n/a	n/a	n/a	[]	[]
85.3	3.0	n/a	n/a	n/a	[]	[]
93.3	3.0	n/a	n/a	n/a	[]	[]
101.3	3.0	n/a	n/a	n/a	[]	[]
109.3	3.0	n/a	n/a	n/a	[]	[]
117.3	3.0	n/a	n/a	n/a	[]	[]
