onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
5.5	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
9.0	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
12.5	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
16.0	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
89.5	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
93.0	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
96.5	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
100.0	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
103.5	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
177.0	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
180.5	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
184.0	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
187.5	0.5	0.09803921568627452	2.0	250.0	['CH22']	['CH27']
