name	x	y	z	size
Frnt1	6.594001174	39.64210063	9.035101295	0.78539816
Frnt2	7.062801182	35.64210057	9.035101295	0.78539816
Frnt3	7.531601191	32.44210052	8.566301286	0.78539816
Frnt4	8.000401199	28.44210047	9.035101295	0.78539816
Frnt5	9.875601232	40.44210064	7.62870127	0.78539816
Frnt6	10.81320125	37.2421006	8.097501278	0.78539816
Frnt7	11.28200126	32.44210052	7.62870127	0.78539816
Frnt8	10.81320125	28.44210047	7.159901261	0.78539816
Temp1	22.53320146	18.04210031	0.596701145	0.78539816
Temp2	20.18920141	17.2421003	-0.340898871	0.78539816
Temp3	18.78280139	18.04210031	3.878301203	0.78539816
Temp4	17.37640136	19.64210033	5.753501236	0.78539816
Temp5	22.53320146	14.04210025	1.065501153	0.78539816
Temp6	20.18920141	14.04210025	0.127901137	0.78539816
Temp7	18.78280139	15.64210027	4.347101212	0.78539816
Temp8	17.37640136	17.2421003	6.691101253	0.78539816
Occ1	15.03240132	2.042100072	3.409501195	0.78539816
Occ2	15.50120133	6.042100132	4.81590122	0.78539816
Occ3	15.50120133	9.242100179	5.753501236	0.78539816
Occ4	15.03240132	13.24210024	7.159901261	0.78539816
Occ5	12.21960127	1.24210006	5.284701228	0.78539816
Occ6	12.21960127	5.24210012	6.691101253	0.78539816
Occ7	12.21960127	9.242100179	7.159901261	0.78539816
Occ8	11.75080127	12.44210023	8.097501278	0.78539816
MT1	6.378485789	20.72162807	-19.92661987	1.5
MT2	6.293022214	19.99139816	-17.95635079	1.5
MT3	6.527668711	21.08839315	-17.86125602	1.5
MT4	5.466766153	20.75238928	-18.03180562	1.5
MT5	6.010355451	19.88049695	-15.97953506	1.5
MT6	6.245001948	20.97749194	-15.88444029	1.5
MT7	5.18409939	20.64148807	-16.05498989	1.5
MT8	5.530485501	20.38892445	-13.99617269	1.5
