onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
5.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
8.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
11.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
14.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
17.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
20.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
23.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
26.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
29.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
32.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
35.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
38.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
41.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
44.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
47.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
50.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
53.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
56.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
59.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH17']
