onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
5.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
8.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
11.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
14.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
17.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
20.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
23.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
26.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
29.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
32.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
35.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
38.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
41.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
44.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
47.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
50.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
53.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
56.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
59.0	0.5	0.11737089201877934	1.5	200.0	['CH5']	['CH10']
