onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
5.0	3.0	n/a	n/a	n/a	[]	[]
15.1	3.0000000000000018	n/a	n/a	n/a	[]	[]
25.2	3.0	n/a	n/a	n/a	[]	[]
35.3	3.0	n/a	n/a	n/a	[]	[]
45.4	3.0	n/a	n/a	n/a	[]	[]
