onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
3.5	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
5.0	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
6.5	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
8.0	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
9.5	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
11.0	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
12.5	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
14.0	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
15.5	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
17.0	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
18.5	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
20.0	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
21.5	0.5	0.04757373929590866	4.0	200.0	['CH23']	['CH21']
