onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
3.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
5.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
6.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
8.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
9.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
11.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
12.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
14.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
15.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
17.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
18.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
20.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
21.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
23.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
24.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
26.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
27.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
29.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
30.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
32.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
33.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
35.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
36.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
38.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
39.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
41.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
42.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
44.0	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
45.5	0.5	0.03843197540353574	5.0	200.0	['CH23']	['CH21']
