onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
3.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
5.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
6.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
8.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
9.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
11.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
12.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
14.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
15.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
17.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
18.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
20.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
21.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
23.0	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
24.5	0.5	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
26.0	-26.0	0.062421972534332085	3.0	200.0	['CH13']	['CH15']
