onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
3.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
5.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
6.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
8.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
9.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
11.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
12.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
14.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
15.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
17.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
18.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
20.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
21.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
23.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
24.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
26.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
27.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
29.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
30.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
32.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
33.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
35.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
36.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
38.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
39.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
41.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
42.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
44.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
45.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH22']
