session_id	acq_time	acq_time_unix	sourcedata_dir	comments
ses-Longterm	n/a	n/a	n/a	n/a
ses-Intraopdata	n/a	n/a	n/a	n/a
ses-Functional	n/a	n/a	n/a	n/a
ses-Bseps	n/a	n/a	n/a	n/a
ses-preop	n/a	n/a	n/a	n/a
