name	x	y	z	size
Ch 1	-16.60379815	12.21710241	8.643398941	2.0106
Ch 2	-17.07259816	20.31710273	8.174598932	2.0106
Ch 3	-16.60379815	27.51710302	6.768198907	2.0106
Ch 4	-16.13499814	35.91710335	5.361798882	2.0106
Ch 5	-21.29179823	11.9171024	3.017798841	2.0106
Ch 6	-22.22939825	19.41710269	2.080198824	2.0106
Ch 7	-20.82299823	27.217103	0.6737988	2.0106
Ch 8	-18.94779819	34.41710329	-0.263801217	2.0106
Ch 9	15.27460241	12.21710241	10.98739898	2.0106
Ch 10	18.08740246	19.71710271	10.51859897	2.0106
Ch 11	19.9626025	27.217103	7.236998916	2.0106
Ch 12	21.83780253	33.81710327	4.892998874	2.0106
Ch 13	8.711402297	15.21710253	13.80019903	2.0106
Ch 14	11.52420235	22.1171028	12.39379901	2.0106
Ch 15	12.46180236	29.31710309	10.51859897	2.0106
Ch 16	14.8058024	36.81710339	8.174598932	2.0106
