onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	-2.0	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
7.2	-7.2	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
15.5	-15.5	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
47.2	-47.2	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
52.3	-52.3	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
56.4	-56.4	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
77.1	-77.1	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
92.7	-92.7	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
102.7	-102.7	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
108.6	-108.6	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
115.7	-115.7	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
