onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	55.2	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
64.2	0.09999999999999432	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
71.3	0.10000000000000853	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
78.4	0.09999999999999432	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
85.5	0.7000000000000028	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
93.2	0.09999999999999432	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
100.3	17.0	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
124.3	0.29999999999999716	0.32573289902280134	0.1	250.0	['CH3']	['CH9']
