session_id	acq_time	acq_time_unix	sourcedata_dir	comments
ses-Sleep	n/a	n/a	n/a	n/a
ses-plan	n/a	n/a	n/a	n/a
ses-Noisefloor	n/a	n/a	n/a	n/a
ses-Functional	n/a	n/a	n/a	n/a
ses-Closedloop	n/a	n/a	n/a	n/a
ses-Bseps	n/a	n/a	n/a	n/a
